Orig Hotspot Rank,Nfrag,Min,Ave,Orig,Hotspot Cluster,N_Heavy_Atoms,N_BBone_Atoms,PDB_SASA,Excl_SASA,PDB_HS_SASA,Excl_HS_SASA,Adj_PDB_SASA,Adj_PDB_HS_SASA,Relative_Adj_SASA,MinDist,MaxDist,AvgDist,MidDist,Vol,Excl_Vol,NAdj (Hotspots in Cluster),Sum_GFE,Sum_Min_GFE,Sum_PDB_SASA,Sum_PDB_HS_SASA,Sum_Excl_SASA,Sum_Excl_HS_SASA,Sum_NFrag,Sum_Adj_N_Atoms,Sum_N_BBone_Atoms,Sum_Vol,Sum_Excl_Vol,Mean_GFE,Mean_Min_GFE,Mean_PDB_SASA,Mean_PDB_HS_SASA,Mean_Excl_SASA,Mean_Excl_HS_SASA,Mean_N_Fragments,Mean_N_Heavy_Atoms,Mean_N_BBone_Atoms,Mean_Vol,Mean_Excl_Vol,Min_PDB_SASA,Min_PDB_HS_SASA,Min_Excl_SASA,Min_Excl_HS_SASA,Max_Vol,Max_Excl_Vol,Expt,System,Protein,Decision_fn,Rank
80,4,-2.42,-2.32,-2.22,"{80, 60, 78, 63}",0,0,0,63.655,147.945,314.543,357.242,973.14,0.367,8.949,10.87,10.188,10.744,108.723,430.699,4,-9.28,-12.42,59.083,357.242,291.945,958.47,25,4,0,377.305,1642.712,-2.32,-3.105,14.771,89.31,72.986,239.618,6.25,1,0,94.326,410.678,0,2.179,61.722,90.63,108.723,455.103,False,cdk2_active,CDK2 Active,-0.516,25
40,6,-3.52,-2.653,-2.58,"{4, 37, 71, 40, 51, 58}",0,0,0,50.795,96.535,256.67,538.064,1228.652,0.438,6.955,10.879,9.096,9.112,113.074,408.136,6,-15.92,-20.53,46.72,643.139,204.828,1766.081,35,2,0,637.571,2801.71,-2.653,-3.422,7.787,107.19,34.138,294.347,5.833,0.333,0,106.262,466.952,0,62.691,0,225.733,113.097,509.891,False,cdk2_active,CDK2 Active,-0.523,26
56,5,-3.52,-2.742,-2.44,"{4, 38, 49, 56, 29}",0,0,0,69.72,101.235,239.258,437.224,946.879,0.462,4.054,11.062,7.301,8.752,108.332,414.513,5,-13.71,-16.17,59.614,567.279,340.73,1452.265,31,2,0,519.556,2206.709,-2.742,-3.234,11.923,113.456,68.146,290.453,6.2,0.4,0,103.911,441.342,0,62.691,11.157,225.733,112.98,495.773,False,cdk2_active,CDK2 Active,-0.526,27
30,3,-2.65,-2.537,-2.65,"{57, 45, 30}",6,2,46.071,87.218,39.123,192.837,343.805,699.248,0.492,7.709,11.272,9.49,11.272,57.084,368.947,3,-7.61,-8.37,46.071,344.093,168.674,895.953,13,6,2,282.696,1303.047,-2.537,-2.79,15.357,114.698,56.225,298.651,4.333,2,0.667,94.232,434.349,0,39.123,14.344,192.837,113.097,492.648,False,cdk2_active,CDK2 Active,-0.528,28
31,5,-2.8,-2.566,-2.64,"{70, 39, 17, 52, 31}",0,0,0,95.001,128.195,321.908,430.028,951.851,0.452,5.696,8.331,7.124,7.938,109.051,392.446,5,-12.83,-14.69,57.681,520.184,406.516,1476.763,27,9,0,455.555,2061.967,-2.566,-2.938,11.536,104.037,81.303,295.353,5.4,1.8,0,91.111,412.393,0,41,0,209.169,109.664,507.763,False,cdk2_active,CDK2 Active,-0.559,29
26,4,-3.07,-2.75,-2.69,"{9, 26, 68, 14}",0,0,0,65.682,65.576,187.241,424.866,815.294,0.521,5.326,10.512,8.702,10.268,94.564,344.562,4,-11,-12.26,58.805,485.51,264.826,1014.625,20,3,0,401.071,1677.405,-2.75,-3.065,14.701,121.378,66.207,253.656,5,0.75,0,100.268,419.351,0,65.576,42.833,187.241,113.097,494.302,False,cdk2_active,CDK2 Active,-0.601,30
23,4,-2.95,-2.505,-2.72,"{91, 76, 13, 23}",0,0,0,53.428,89.024,198.969,454.678,925.451,0.491,7.773,10.385,9.288,9.705,107.687,338.197,4,-10.02,-11.57,0,459.421,252.347,1156.424,20,0,0,423.672,1681.164,-2.505,-2.893,0,114.855,63.087,289.106,5,0,0,105.918,420.291,0,89.024,0,198.969,113.097,515.342,False,cdk2_active,CDK2 Active,-0.622,31
38,6,-3.52,-2.778,-2.59,"{4, 38, 12, 49, 56, 29}",1,0,40.194,100.083,141.119,331.682,480.791,1117.077,0.43,4.054,10.554,7.961,8.677,96.803,430.435,6,-16.67,-19.24,59.614,656.599,386.233,1674.247,38,2,0,624.158,2623.867,-2.778,-3.207,9.936,109.433,64.372,279.041,6.333,0.333,0,104.026,437.311,0,62.691,11.157,221.982,112.98,495.773,False,cdk2_active,CDK2 Active,-0.639,32
69,7,-2.95,-2.464,-2.33,"{69, 75, 13, 46, 79, 81, 22}",4,3,30.947,123.677,80.984,302.479,651.603,1320.844,0.493,7.459,10.333,9.112,9.555,71.774,451.252,7,-17.25,-19.48,30.947,848.636,806.008,2141.452,39,4,3,713.011,2801.041,-2.464,-2.783,4.421,121.234,115.144,305.922,5.571,0.571,0.429,101.859,400.149,0,51.8,52.949,118.415,112.288,470.404,False,cdk2_active,CDK2 Active,-0.668,33
14,4,-3.07,-2.785,-2.91,"{9, 26, 53, 14}",3,0,58.805,77.037,96.843,221.426,434.474,812.249,0.535,5.326,8.737,6.874,6.56,80.313,394.511,4,-11.14,-12.28,128.889,495.118,260.11,1100.497,19,6,0,381.976,1669.967,-2.785,-3.07,32.222,123.779,65.028,275.124,4.75,1.5,0,95.494,417.492,0,65.576,38.117,187.241,113.097,486.864,False,cdk2_active,CDK2 Active,-0.703,34
71,5,-3.65,-2.754,-2.32,"{32, 2, 37, 71, 40}",1,0,27.3,25.032,113.662,330.138,419.208,1036.262,0.405,6.259,9.96,8.524,9.664,99.247,503.248,5,-13.77,-17.99,27.3,488.895,276.737,1354.038,25,1,0,538.716,2149.824,-2.754,-3.598,5.46,97.779,55.347,270.808,5,0.2,0,107.743,429.965,0,55.149,25.032,197.177,113.074,503.248,False,cdk2_active,CDK2 Active,-0.705,35
51,5,-3.52,-2.798,-2.48,"{4, 37, 40, 16, 51}",0,0,0,0,105.574,326.484,404.339,985.367,0.41,7.257,9.749,8.443,9.112,107.86,507.371,5,-13.99,-17.6,77.918,509.414,179.796,1560.795,32,4,0,517.206,2312.17,-2.798,-3.52,15.584,101.883,35.959,312.159,6.4,0.8,0,103.441,462.434,0,62.691,0,225.733,113.074,523.599,False,cdk2_active,CDK2 Active,-0.723,36
6,4,-3.09,-2.607,-3.09,"{64, 61, 6, 47}",0,0,0,58.2,123.635,312.581,367.328,713.73,0.515,4.757,11.677,7.643,6.497,103.989,426.127,4,-10.43,-12.36,0,485.827,185.926,1220.062,21,0,0,430.555,1830.501,-2.607,-3.09,0,121.457,46.481,305.015,5.25,0,0,107.639,457.625,0,90.928,3.279,269.869,112.994,488.274,False,cdk2_active,CDK2 Active,-0.732,37
32,3,-3.65,-2.867,-2.63,"{32, 2, 71}",0,0,0,41.262,130.8,299.537,246.216,601.173,0.41,6.259,7.163,6.711,7.163,110.216,442.124,3,-8.6,-10.95,27.3,299.611,161.531,826.852,12,1,0,318.967,1293.912,-2.867,-3.65,9.1,99.87,53.844,275.617,4,0.333,0,106.322,431.304,0,55.149,25.032,197.177,110.216,503.248,False,cdk2_active,CDK2 Active,-0.749,38
12,7,-3.07,-2.603,-2.96,"{38, 8, 12, 45, 49, 83, 55}",0,0,0,45.503,89.32,221.982,799.217,1477.034,0.541,6.088,10.673,9.022,10.133,104.602,417.158,7,-18.22,-21.61,40.194,924.228,332.653,2265.022,41,1,0,755.321,3147.457,-2.603,-3.087,5.742,132.033,47.522,323.575,5.857,0.143,0,107.903,449.637,0,89.32,0,221.982,113.097,516.427,True,cdk2_active,CDK2 Active,-0.768,39
84,4,-2.42,-2.322,-2.11,"{67, 60, 62, 84}",0,0,0,48.215,126.992,338.526,448.564,949.711,0.472,7.974,11.385,10.106,10.96,107.395,480.348,4,-9.29,-9.76,8.025,450.504,267.001,1133.599,18,3,0,399.344,1755.922,-2.322,-2.44,2.006,112.626,66.75,283.4,4.5,0.75,0,99.836,438.981,0,2.179,48.215,90.63,111.255,480.348,False,cdk2_active,CDK2 Active,-0.808,40
82,6,-2.58,-2.353,-2.14,"{64, 67, 41, 42, 82, 87}",0,0,0,46.961,97.711,208.379,630.458,1192.239,0.529,8.429,9.854,9.204,9.309,104.946,398.507,6,-14.12,-15.59,25.424,755.147,421.653,1832.513,28,1,0,639.67,2659.938,-2.353,-2.598,4.237,125.858,70.276,305.419,4.667,0.167,0,106.612,443.323,0,83.187,44.043,194.424,112.9,491.128,False,cdk2_active,CDK2 Active,-0.818,41
77,4,-2.78,-2.595,-2.25,"{19, 20, 77, 36}",0,0,0,83.447,122.694,257.745,409.428,911.587,0.449,7.11,11.535,8.98,8.296,111.502,376.712,4,-10.38,-11.88,22.985,438.843,354.495,1037.11,20,1,0,424.041,1534.897,-2.595,-2.97,5.746,109.711,88.624,259.277,5,0.25,0,106.01,383.724,0,103.655,59.347,253.638,113.086,427.73,False,cdk2_active,CDK2 Active,-0.83,42
62,4,-2.42,-2.265,-2.42,"{62, 60, 87, 84}",0,0,0,78.147,157.353,316.991,460.184,945.011,0.487,8.646,11.385,10.028,10.055,107.817,457.347,4,-9.06,-9.84,8.025,466.824,288.577,1116.622,18,3,0,400.989,1719.863,-2.265,-2.46,2.006,116.706,72.144,279.156,4.5,0.75,0,100.247,429.966,0,2.179,48.215,90.63,112.9,480.348,False,cdk2_active,CDK2 Active,-0.861,43
68,6,-3.05,-2.632,-2.33,"{36, 68, 10, 24, 26, 59}",0,0,0,42.833,159.874,320.445,651.706,1324.316,0.492,5.084,11.776,8.746,8.438,113.097,494.302,6,-15.79,-18.46,0,756.707,413.438,1713.442,29,0,0,658.801,2554.54,-2.632,-3.077,0,126.118,68.906,285.574,4.833,0,0,109.8,425.757,0,65.576,17.471,187.241,113.097,499.394,False,cdk2_active,CDK2 Active,-0.889,44
45,6,-3.07,-2.628,-2.52,"{8, 12, 45, 83, 57, 30}",0,0,0,67.112,150.488,339.099,672.251,1398.034,0.481,7.976,11.272,10.074,10.673,113.097,441.452,6,-15.77,-17.47,46.071,685.929,322.975,1755.33,30,6,2,603.85,2566.417,-2.628,-2.912,7.678,114.322,53.829,292.555,5,1,0.333,100.642,427.736,0,39.123,14.344,192.837,113.097,493.756,False,cdk2_active,CDK2 Active,-0.931,45
8,4,-3.07,-2.768,-3.07,"{8, 12, 45, 44}",0,0,0,76.484,90.74,222.633,510.278,949.139,0.538,7.976,11.266,9.791,10.133,103.464,352.456,4,-11.07,-12.28,0,519.6,210.679,1183.759,21,0,0,434.26,1714.331,-2.767,-3.07,0,129.9,52.67,295.94,5.25,0,0,108.565,428.583,0,89.32,21.58,221.982,113.097,503.265,True,cdk2_active,CDK2 Active,-0.941,46
79,6,-2.61,-2.307,-2.23,"{33, 69, 73, 75, 79, 91}",0,0,0,52.949,154.569,380.04,604.521,1116.082,0.542,4.387,10.174,7.921,7.888,112.288,470.404,6,-13.84,-16.34,30.947,819.066,467.26,2025.109,35,4,3,621.847,2764.226,-2.307,-2.723,5.158,136.511,77.877,337.518,5.833,0.667,0.5,103.641,460.704,0,80.984,0,302.479,112.594,515.342,False,cdk2_active,CDK2 Active,-0.974,47
29,5,-2.65,-2.544,-2.65,"{38, 44, 47, 56, 29}",0,0,0,95.18,85.189,261.739,568.549,988.224,0.575,5.336,9.923,8.388,9.618,103.823,440.7,5,-12.72,-15.85,40.194,679.779,366.967,1586.031,25,1,0,535.049,2222.989,-2.544,-3.17,8.039,135.956,73.393,317.206,5,0.2,0,107.01,444.598,0,85.189,21.58,239.258,113.097,503.265,False,cdk2_active,CDK2 Active,-0.993,48
27,5,-2.73,-2.436,-2.68,"{81, 50, 22, 88, 27}",1,1,27.629,124.844,148.604,318.525,611.995,1070.806,0.572,5.078,11.405,8.399,8.952,103.179,397.021,5,-12.18,-14.58,27.629,679.145,522.04,1589.756,24,1,1,539.772,2025.712,-2.436,-2.916,5.526,135.829,104.408,317.951,4.8,0.2,0.2,107.954,405.142,0,51.8,50.32,118.415,112.911,475.589,False,cdk2_active,CDK2 Active,-1.005,49
3,4,-3.54,-2.68,-3.54,"{50, 3, 36, 85}",1,0,21.642,121.526,95.948,319.98,427.689,807.495,0.53,5.091,9.562,7.344,7.38,100.716,427.32,4,-10.72,-14.16,21.642,509.165,305.039,1391.511,20,1,0,435.124,1841.642,-2.68,-3.54,5.41,127.291,76.26,347.878,5,0.25,0,108.781,460.411,0,95.948,0,253.638,113.086,522.666,False,cdk2_active,CDK2 Active,-1.02,50
91,7,-2.95,-2.451,-2.07,"{33, 73, 76, 13, 79, 23, 91}",0,0,0,0,137.126,326.181,773.546,1452.343,0.533,7.379,11.522,9.612,10.174,103.012,515.342,7,-17.16,-19.4,0,907.396,494.734,2186.675,36,0,0,760.217,3053,-2.451,-2.771,0,129.628,70.676,312.382,5.143,0,0,108.602,436.143,0,89.024,0,198.969,113.097,515.342,False,cdk2_active,CDK2 Active,-1.04,51
57,4,-2.65,-2.435,-2.44,"{57, 83, 45, 30}",0,0,0,14.344,154.482,364.017,501.513,935.465,0.536,7.709,9.692,8.651,8.552,112.515,492.648,4,-9.74,-11.33,46.071,505.869,200.988,1310.715,19,6,2,395.784,1796.803,-2.435,-2.833,11.518,126.467,50.247,327.679,4.75,1.5,0.5,98.946,449.201,0,39.123,14.344,192.837,113.097,493.756,False,cdk2_active,CDK2 Active,-1.05,52
43,3,-3.52,-2.88,-2.53,"{43, 4, 37}",0,0,0,84.47,123.656,349.273,223.738,611.509,0.366,9.384,9.849,9.616,9.849,110.793,433.856,3,-8.64,-10.56,19.42,279.096,213.471,845.522,18,1,0,315.086,1306.92,-2.88,-3.52,6.473,93.032,71.157,281.841,6,0.333,0,105.029,435.64,0,62.691,64.411,225.733,110.793,447.776,False,cdk2_active,CDK2 Active,-1.06,53
36,6,-3.54,-2.587,-2.59,"{3, 68, 36, 77, 85, 24}",0,0,0,94.147,103.655,253.638,700.436,1285.576,0.545,7.11,11.921,9.857,9.562,113.086,421.717,6,-15.52,-19.5,21.642,797.405,457.137,1946.465,31,1,0,658.676,2687.405,-2.587,-3.25,3.607,132.901,76.189,324.411,5.167,0.167,0,109.779,447.901,0,95.948,0,253.638,113.097,522.666,False,cdk2_active,CDK2 Active,-1.064,54
76,4,-2.72,-2.385,-2.28,"{91, 76, 53, 23}",0,0,0,49.093,125.163,325.944,511.412,962.633,0.531,8.392,10.112,9.403,9.705,113.097,462.387,4,-9.54,-11.69,70.084,520.795,140.638,1257.411,20,3,0,417.798,1802.79,-2.385,-2.923,17.521,130.199,35.16,314.353,5,0.75,0,104.45,450.697,0,89.024,0,198.969,113.097,515.342,False,cdk2_active,CDK2 Active,-1.115,55
81,5,-2.68,-2.364,-2.19,"{69, 46, 81, 88, 27}",0,0,0,140.25,163.378,366.42,523.577,917.114,0.571,4.023,10.333,6.882,8.094,107.873,412.954,5,-11.82,-13.77,58.576,689.597,559.941,1682.144,28,5,4,500.363,2142.004,-2.364,-2.754,11.715,137.919,111.988,336.429,5.6,1,0.8,100.073,428.401,0,80.984,50.32,302.479,111.331,475.589,False,cdk2_active,CDK2 Active,-1.138,56
20,4,-2.78,-2.55,-2.76,"{19, 20, 77, 63}",0,0,0,117.554,105.155,254.383,465.156,959.251,0.485,10.684,11.788,11.336,11.535,100.201,308.738,4,-10.2,-12.05,22.985,470.563,358.547,1154.693,21,1,0,412.368,1568.283,-2.55,-3.013,5.746,117.641,89.637,288.673,5.25,0.25,0,103.092,392.071,0,105.155,59.347,254.383,111.502,455.103,False,cdk2_active,CDK2 Active,-1.155,57
55,5,-2.96,-2.48,-2.44,"{66, 12, 49, 83, 55}",0,0,0,0,113.74,341.011,614.27,1035.143,0.593,7.603,8.071,7.769,7.745,111.287,516.427,5,-12.4,-14.77,0,727.989,88.974,1865.281,29,0,0,555.054,2446.713,-2.48,-2.954,0,145.598,17.795,373.056,5.8,0,0,111.011,489.343,0,89.32,0,221.982,113.097,523.599,False,cdk2_active,CDK2 Active,-1.163,58
